Marca temporal,¿En qué rango de edad te encuentras?,¿Cuál es tu género?,¿Cuál es tu ocupación actual?,¿Cuál es tu estado civil?,¿Estas actualmente realizando práctica profesional?,¿En qué jornada matriculas tus clases regularmente?,¿En qué año académico se encuentra actualmente?,"¿Ha experimentado durante su vida estudiantil el trastorno de ansiedad (miedo, nervios o estrés)?","Basándose en un periodo académico normal en la UNAH, ¿En qué momento experimenta el mayor foco de trastorno de ansiedad?",Tener varias evaluaciones en una misma semana.,Atender muchas tareas simultaneas.,Realizar exposiciones o conferencias frente a muchas personas.,Participar en clase frente a los demás compañeros.,Desarrollar su jornada académica en ambientes físicos desagradables.,Tener un tiempo limitado y corto para realizar sus tareas.,Los trabajos grupales.,¿De qué forma considera que influye el trastorno de ansiedad en su promedio de calificaciones?,Cansancio/fatiga difusa.,Dificultad para dormir o sueño irregular.,Sensación de no haber sido tomado en consideración.,Irritabilidad excesiva.,Escasa confianza en usted mismo.,Sensación de inutilidad.,Falta de entusiasmo.,Sensación de no tener control sobre la situación.,Preocupación excesiva.,Dificultad de concentración.,Olvidos frecuentes.,El querer aislarse de los demás.,Escaso desempeño en ejecutar sus propias obligaciones.,Dificultad para aceptar responsabilidades.,Dificultad para mantener responsabilidades contraídas.,Cancelar/abandonar asignaturas matriculadas.
2020/04/11 1:19:33 a.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,Sí,Mixta Vespertina - Nocturna,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Disminuye,Muy de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/11 12:51:20 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
2020/04/11 1:18:20 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Soltero,Sí,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Se mantiene,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 1:18:37 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,Sí,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 1:30:55 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 1:43:31 p.m. GMT-5,19 - 22 años,Hombre,Ambas,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Se mantiene,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 1:46:45 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Casado,No,Nocturna,5to año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,Disminuye,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo
2020/04/11 1:49:23 p.m. GMT-5,19 - 22 años,Mujer,Ambas,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 1:54:39 p.m. GMT-5,27 - 30 años,Hombre,Ambas,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
2020/04/11 1:56:50 p.m. GMT-5,27 - 30 años,Mujer,Estudio,Soltero,Sí,Mixta Vespertina - Nocturna,ultimo año,Sí,Al final de cada parcial,,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuye,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo
2020/04/11 1:57:32 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Matutina,3er año,Sí,Al final de cada parcial,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
2020/04/11 1:58:15 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Soltero,Sí,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Se mantiene,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 1:58:58 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Casado,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Se mantiene,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 2:03:19 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Matutina,3er año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
2020/04/11 2:06:49 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Otro,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
2020/04/11 2:11:23 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
2020/04/11 2:12:58 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,3er año,Sí,Al final de cada parcial,De acuerdo,Muy de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 2:24:51 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/11 2:25:01 p.m. GMT-5,27 - 30 años,Hombre,Trabajo,Soltero,Sí,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 2:32:21 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
2020/04/11 2:36:18 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Aumenta,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
2020/04/11 2:38:15 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,Sí,Matutina,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
2020/04/11 2:56:23 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,Al final de cada parcial,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Aumenta,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 2:57:52 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Se mantiene,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 3:55:30 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Se mantiene,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
2020/04/11 4:41:54 p.m. GMT-5,23 - 26 años,Hombre,Trabajo,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Aumenta,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo
2020/04/11 5:03:52 p.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
2020/04/11 5:54:58 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Vespertina,4to año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Disminuye,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
2020/04/11 7:26:02 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Soltero,Sí,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumenta,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
2020/04/11 7:45:51 p.m. GMT-5,mayor de 30 años,Hombre,Ambas,Otro,No,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/11 8:34:34 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Disminuye,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
2020/04/11 8:40:10 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,Sí,Mixta Matutina - Vespertina,5to año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/11 9:11:28 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Disminuye,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/11 9:19:18 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
